time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/ent_coef_loss,train/actor_loss
120,22,2677,664,9.29163362,4.04,0.18726685643196106,0.001,1676,0.004645998124033213,-5.6541571617126465,-9.50136947631836
119,22,2693,668,9.28788647,4.04,0.18430635333061218,0.001,1692,0.0015747644938528538,-5.633188247680664,-9.526101112365723
119,22,2709,672,9.28983628,4.04,0.1813928335905075,0.001,1708,0.0015519887674599886,-5.726259708404541,-9.548516273498535
118,22,2725,676,9.29496646,4.04,0.17852221429347992,0.001,1724,0.0014824825339019299,-5.7333269119262695,-9.513893127441406
118,23,2741,680,9.29027919,4.04,0.17570188641548157,0.001,1740,0.0019054373260587454,-5.821444034576416,-9.443251609802246
118,23,2757,684,9.289289279999998,4.04,0.1729249656200409,0.001,1756,0.0027024801820516586,-5.848844528198242,-9.500467300415039
117,23,2773,688,9.29253288,4.03,0.17019306123256683,0.001,1772,0.002134137088432908,-5.889369487762451,-9.51281452178955
117,23,2789,692,9.29360048,4.03,0.1675032675266266,0.001,1788,0.0011011306196451187,-5.936553478240967,-9.45104694366455
117,23,2805,696,9.295059590000001,4.03,0.1648569107055664,0.001,1804,0.003565019927918911,-5.983128070831299,-9.518632888793945
116,24,2821,700,9.29386854,4.03,0.1622534841299057,0.001,1820,0.0017069530440494418,-6.067015647888184,-9.46895980834961
116,24,2837,704,9.29510778,4.03,0.15969164669513702,0.001,1836,0.002185644581913948,-6.126041889190674,-9.483308792114258
116,24,2853,708,9.29438828,4.02,0.15717193484306335,0.001,1852,0.001287410268560052,-6.147742748260498,-9.429230690002441
115,24,2869,712,9.294975270000002,4.02,0.1546916961669922,0.001,1868,0.001597263035364449,-6.195954322814941,-9.391572952270508
115,24,2885,716,9.299154510000001,4.01,0.15225455164909363,0.001,1884,0.0022641406394541264,-6.2939043045043945,-9.424569129943848
115,25,2901,720,9.298756489999999,4.01,0.14985260367393494,0.001,1900,0.0012504169717431068,-6.330152988433838,-9.459883689880371
115,25,2917,724,9.29749268,4.01,0.14749065041542053,0.001,1916,0.002278893254697323,-6.308819770812988,-9.44517707824707
114,25,2933,728,9.29985565,4.01,0.14517006278038025,0.001,1932,0.0021283200476318598,-6.416159629821777,-9.462509155273438
114,25,2949,732,9.300649770000001,4.01,0.14288319647312164,0.001,1948,0.0011923301499336958,-6.454208850860596,-9.382741928100586
114,25,2965,736,9.301952569999997,4.01,0.14063237607479095,0.001,1964,0.0020858650095760822,-6.535760402679443,-9.431855201721191
113,26,2981,740,9.30025312,4.01,0.13841788470745087,0.001,1980,0.004513676278293133,-6.5994462966918945,-9.39973258972168
113,26,2997,744,9.299648170000001,4.01,0.13623853027820587,0.001,1996,0.002730913460254669,-6.630706787109375,-9.434050559997559
113,26,3013,748,9.30364193,4.01,0.13408933579921722,0.001,2012,0.002198350615799427,-6.587431907653809,-9.367080688476562
113,26,3029,752,9.30600783,4.01,0.13197727501392365,0.001,2028,0.0015589536633342505,-6.714066505432129,-9.330276489257812
112,26,3045,756,9.3089012,4.0,0.1299026608467102,0.001,2044,0.0014240253949537873,-6.7871222496032715,-9.357315063476562
112,27,3061,760,9.30936698,4.0,0.12785956263542175,0.001,2060,0.0014365704264491796,-6.86993408203125,-9.362056732177734
112,27,3077,764,9.30972527,4.0,0.1258455067873001,0.001,2076,0.0019605017732828856,-6.829625129699707,-9.39026927947998
112,27,3093,768,9.314994,4.0,0.1238686665892601,0.001,2092,0.0018013359513133764,-6.887391090393066,-9.374958038330078
111,27,3109,772,9.31212166,4.0,0.12191928178071976,0.001,2108,0.003775715595111251,-6.915900230407715,-9.345247268676758
111,27,3125,776,9.311467760000001,4.0,0.12000342458486557,0.001,2124,0.0019710808992385864,-7.045504093170166,-9.263604164123535
111,28,3141,780,9.31385833,4.0,0.11811701208353043,0.001,2140,0.0027385647408664227,-7.04490327835083,-9.315389633178711
111,28,3157,784,9.31241893,4.0,0.11625910550355911,0.001,2156,0.001329326070845127,-7.091359615325928,-9.359329223632812
111,28,3173,788,9.30990802,4.0,0.11443643271923065,0.001,2172,0.0009253371390514076,-7.128939628601074,-9.369312286376953
110,28,3190,792,9.30803049,4.01,0.1125333160161972,0.001,2189,0.0017171527724713087,-7.261998176574707,-9.275164604187012
110,28,3206,796,9.31147549,4.01,0.11076615005731583,0.001,2205,0.0026702152099460363,-7.267294883728027,-9.227472305297852
110,29,3222,800,9.311222889999998,4.01,0.1090325266122818,0.001,2221,0.0016846584621816874,-7.41520881652832,-9.284900665283203
110,29,3238,804,9.31471225,4.01,0.10732173919677734,0.001,2237,0.001832915237173438,-7.383298397064209,-9.245834350585938
109,29,3254,808,9.311506889999999,4.01,0.1056399866938591,0.001,2253,0.0022399029694497585,-7.469913005828857,-9.28122615814209
109,29,3270,812,9.31586448,4.01,0.1039852574467659,0.001,2269,0.0013624350540339947,-7.42828893661499,-9.257291793823242
109,29,3286,816,9.31715738,4.01,0.1023581251502037,0.001,2285,0.006919803097844124,-7.497346878051758,-9.241369247436523
109,30,3302,820,9.319409140000001,4.01,0.10075302422046661,0.001,2301,0.001901914831250906,-7.646733283996582,-9.252218246459961
